,Price,Qty
2015-08-04 09:23:52.813000,119.8281,2.0
2015-08-04 09:23:52.813000,119.8281,1.0
2015-08-04 09:23:52.813000,119.8281,1.0
2015-08-04 09:23:52.813000,119.8281,1.0
2015-08-04 09:23:52.813000,119.8281,1.0
2015-08-04 09:23:52.813000,119.8281,3.0
2015-08-04 09:23:52.813000,119.8281,1.0
2015-08-04 09:23:52.833000,119.8281,1.0
2015-08-04 09:23:52.833000,119.8281,9.0
2015-08-04 09:23:52.867000,119.8281,10.0
2015-08-04 09:23:52.887000,119.8281,10.0
2015-08-04 09:23:52.907000,119.8281,9.0
2015-08-04 09:23:52.907000,119.8281,1.0
2015-08-04 09:23:53.670000,119.8281,10.0
2015-08-04 09:23:53.687000,119.8281,10.0
2015-08-04 09:23:53.707000,119.8281,10.0
2015-08-04 09:23:53.737000,119.8281,10.0
2015-08-04 09:23:53.760000,119.8281,38.0
2015-08-04 09:23:53.763000,119.8281,18.0
2015-08-04 09:23:53.763000,119.8281,20.0
2015-08-04 09:23:53.763000,119.8281,3.0
2015-08-04 09:23:53.763000,119.8281,80.0
2015-08-04 09:23:53.763000,119.8281,4.0
2015-08-04 09:23:53.763000,119.8281,1.0
2015-08-04 09:23:53.763000,119.8281,2.0
2015-08-04 09:23:53.763000,119.8281,1.0
2015-08-04 09:23:53.763000,119.8281,10.0
2015-08-04 09:23:53.763000,119.8281,2.0
2015-08-04 09:23:53.763000,119.8281,1.0
2015-08-04 09:23:53.763000,119.8281,3.0
2015-08-04 09:23:53.763000,119.8281,1.0
2015-08-04 09:23:53.763000,119.8281,1.0
2015-08-04 09:23:53.763000,119.8281,10.0
2015-08-04 09:23:53.763000,119.8281,7.0
2015-08-04 09:23:53.763000,119.8281,19.0
2015-08-04 09:23:53.763000,119.8281,2.0
2015-08-04 09:23:53.763000,119.8281,19.0
2015-08-04 09:23:53.763000,119.8281,2.0
2015-08-04 09:23:53.763000,119.8281,2.0
2015-08-04 09:23:53.763000,119.8281,2.0
2015-08-04 09:23:53.763000,119.8281,2.0
2015-08-04 09:23:53.763000,119.8281,2.0
2015-08-04 09:23:53.763000,119.8281,2.0
2015-08-04 09:23:57.753000,119.8203,1.0
2015-08-04 09:24:11.180000,119.8281,2.0
2015-08-04 09:24:11.180000,119.8281,2.0
2015-08-04 09:24:11.180000,119.8281,13.0
2015-08-04 09:24:11.180000,119.8281,5.0
2015-08-04 09:24:11.180000,119.8281,1.0
2015-08-04 09:24:11.180000,119.8281,2.0
2015-08-04 09:24:11.180000,119.8281,2.0
2015-08-04 09:24:11.180000,119.8281,5.0
2015-08-04 09:24:11.180000,119.8281,1.0
2015-08-04 09:24:11.180000,119.8281,1.0
2015-08-04 09:24:11.180000,119.8281,5.0
2015-08-04 09:24:11.180000,119.8281,1.0
2015-08-04 09:24:11.180000,119.8281,2.0
2015-08-04 09:24:11.180000,119.8281,1.0
2015-08-04 09:24:11.180000,119.8281,5.0
2015-08-04 09:24:11.180000,119.8281,6.0
2015-08-04 09:24:11.180000,119.8281,4.0
2015-08-04 09:24:11.180000,119.8281,2.0
2015-08-04 09:24:11.180000,119.8281,2.0
2015-08-04 09:24:11.180000,119.8281,2.0
2015-08-04 09:24:11.180000,119.8281,2.0
2015-08-04 09:24:11.180000,119.8281,2.0
2015-08-04 09:24:11.180000,119.8281,2.0
2015-08-04 09:24:11.180000,119.8281,18.0
2015-08-04 09:24:11.183000,119.8281,32.0
2015-08-04 09:24:11.183000,119.8281,2.0
2015-08-04 09:24:11.183000,119.8281,2.0
2015-08-04 09:24:11.183000,119.8281,3.0
2015-08-04 09:24:11.183000,119.8281,2.0
2015-08-04 09:24:11.183000,119.8281,13.0
2015-08-04 09:24:11.183000,119.8281,2.0
2015-08-04 09:24:11.183000,119.8281,7.0
2015-08-04 09:24:11.183000,119.8281,2.0
2015-08-04 09:24:11.183000,119.8281,2.0
2015-08-04 09:24:11.183000,119.8281,2.0
2015-08-04 09:24:11.183000,119.8281,2.0
2015-08-04 09:24:11.183000,119.8281,10.0
2015-08-04 09:24:11.183000,119.8281,2.0
2015-08-04 09:24:11.183000,119.8281,5.0
2015-08-04 09:24:11.183000,119.8281,10.0
2015-08-04 09:24:11.183000,119.8281,1.0
2015-08-04 09:24:11.193000,119.8281,27.0
2015-08-04 09:24:11.197000,119.8281,19.0
2015-08-04 09:24:11.197000,119.8281,2.0
2015-08-04 09:24:11.197000,119.8281,4.0
2015-08-04 09:24:11.200000,119.8281,10.0
2015-08-04 09:24:11.200000,119.8281,12.0
2015-08-04 09:24:11.200000,119.8281,10.0
2015-08-04 09:24:11.200000,119.8281,15.0
2015-08-04 09:24:11.200000,119.8281,3.0
2015-08-04 09:24:11.200000,119.8281,1.0
2015-08-04 09:24:11.200000,119.8281,10.0
2015-08-04 09:24:11.200000,119.8281,10.0
2015-08-04 09:24:11.200000,119.8281,9.0
2015-08-04 09:24:11.200000,119.8281,10.0
2015-08-04 09:24:11.210000,119.8281,1.0
2015-08-04 09:24:11.257000,119.8281,4.0
2015-08-04 09:24:11.270000,119.8281,15.0
2015-08-04 09:24:11.270000,119.8281,2.0
2015-08-04 09:24:11.270000,119.8281,1.0
2015-08-04 09:24:11.273000,119.8281,1.0
2015-08-04 09:24:11.273000,119.8281,10.0
2015-08-04 09:24:11.273000,119.8281,1.0
2015-08-04 09:24:11.293000,119.8281,10.0
2015-08-04 09:24:11.307000,119.8281,2.0
2015-08-04 09:24:11.370000,119.8281,1.0
2015-08-04 09:24:11.370000,119.8281,1.0
2015-08-04 09:24:11.370000,119.8281,1.0
2015-08-04 09:24:11.370000,119.8281,5.0
2015-08-04 09:24:11.370000,119.8281,2.0
2015-08-04 09:24:11.370000,119.8281,2.0
2015-08-04 09:24:11.370000,119.8281,5.0
2015-08-04 09:24:11.370000,119.8281,1.0
2015-08-04 09:24:12.877000,119.8281,3.0
2015-08-04 09:24:12.887000,119.8281,1.0
2015-08-04 09:24:12.887000,119.8281,5.0
2015-08-04 09:24:12.887000,119.8281,8.0
2015-08-04 09:24:12.887000,119.8281,4.0
2015-08-04 09:24:13.017000,119.8281,3.0
2015-08-04 09:24:13.020000,119.8281,6.0
2015-08-04 09:24:13.020000,119.8281,1.0
2015-08-04 09:24:13.020000,119.8281,4.0
2015-08-04 09:24:13.020000,119.8281,1.0
2015-08-04 09:24:13.023000,119.8281,4.0
2015-08-04 09:24:13.023000,119.8281,10.0
2015-08-04 09:24:13.023000,119.8281,3.0
2015-08-04 09:24:13.023000,119.8281,1.0
2015-08-04 09:24:13.207000,119.8281,1.0
2015-08-04 09:24:13.207000,119.8281,7.0
2015-08-04 09:24:13.207000,119.8281,3.0
2015-08-04 09:24:13.207000,119.8281,14.0
2015-08-04 09:24:13.207000,119.8281,10.0
2015-08-04 09:24:19.273000,119.8359,9.0
2015-08-04 09:24:19.273000,119.8359,5.0
2015-08-04 09:24:19.273000,119.8359,5.0
2015-08-04 09:24:19.273000,119.8359,1.0
2015-08-04 09:24:19.273000,119.8359,1.0
2015-08-04 09:24:19.273000,119.8359,1.0
2015-08-04 09:24:19.273000,119.8359,2.0
2015-08-04 09:24:19.273000,119.8359,2.0
2015-08-04 09:24:19.273000,119.8359,2.0
2015-08-04 09:24:19.273000,119.8359,1.0
2015-08-04 09:24:19.273000,119.8359,2.0
2015-08-04 09:24:19.273000,119.8359,6.0
2015-08-04 09:24:19.273000,119.8359,2.0
2015-08-04 09:24:19.273000,119.8359,1.0
2015-08-04 09:24:19.273000,119.8359,1.0
2015-08-04 09:24:19.273000,119.8359,2.0
2015-08-04 09:24:19.273000,119.8359,6.0
2015-08-04 09:24:19.273000,119.8359,2.0
2015-08-04 09:24:19.273000,119.8359,9.0
2015-08-04 09:24:19.277000,119.8359,2.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,2.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,3.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,7.0
2015-08-04 09:24:19.277000,119.8359,3.0
2015-08-04 09:24:19.277000,119.8359,3.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,2.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,1.0
2015-08-04 09:24:19.277000,119.8359,2.0
2015-08-04 09:24:19.320000,119.8359,2.0
2015-08-04 09:24:31.747000,119.8359,1.0
2015-08-04 09:24:40.577000,119.8359,2.0
2015-08-04 09:24:52.203000,119.8359,5.0
2015-08-04 09:24:52.203000,119.8359,3.0
2015-08-04 09:24:54.560000,119.8359,5.0
2015-08-04 09:24:54.560000,119.8359,2.0
2015-08-04 09:24:54.560000,119.8359,10.0
2015-08-04 09:24:54.560000,119.8359,7.0
2015-08-04 09:24:54.560000,119.8359,2.0
2015-08-04 09:24:54.560000,119.8359,10.0
2015-08-04 09:24:54.560000,119.8359,19.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,2.0
2015-08-04 09:24:54.563000,119.8359,2.0
2015-08-04 09:24:54.563000,119.8359,2.0
2015-08-04 09:24:54.563000,119.8359,2.0
2015-08-04 09:24:54.563000,119.8359,2.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,2.0
2015-08-04 09:24:54.563000,119.8359,2.0
2015-08-04 09:24:54.563000,119.8359,2.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,2.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,4.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,2.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,3.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,3.0
2015-08-04 09:24:54.563000,119.8359,17.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.563000,119.8359,1.0
2015-08-04 09:24:54.587000,119.8359,4.0
2015-08-04 09:24:56.877000,119.8281,1.0
2015-08-04 09:24:59.427000,119.8281,3.0
2015-08-04 09:24:59.427000,119.8281,2.0
2015-08-04 09:24:59.427000,119.8281,2.0
2015-08-04 09:24:59.427000,119.8281,2.0
2015-08-04 09:24:59.427000,119.8281,2.0
2015-08-04 09:24:59.427000,119.8281,2.0
2015-08-04 09:24:59.427000,119.8281,2.0
2015-08-04 09:24:59.427000,119.8281,2.0
2015-08-04 09:24:59.427000,119.8281,2.0
2015-08-04 09:24:59.923000,119.8281,6.0
2015-08-04 09:24:59.923000,119.8281,1.0
2015-08-04 09:24:59.923000,119.8281,3.0
2015-08-04 09:25:01.127000,119.8281,3.0
2015-08-04 09:25:05.550000,119.8281,1.0
2015-08-04 09:25:05.627000,119.8281,12.0
2015-08-04 09:25:05.627000,119.8281,3.0
2015-08-04 09:25:05.627000,119.8281,1.0
2015-08-04 09:25:05.627000,119.8281,3.0
